# Worker-id, Number of tasks running, Timestamp
1,0,3.28632
2,0,3.28632
3,0,3.28632
1,1,4.29107
2,3,4.29107
3,0,4.29107
1,3,5.30185
2,5,5.30185
3,1,5.30185
1,5,6.3132
2,7,6.3132
3,3,6.3132
1,5,7.32502
2,7,7.32502
3,2,7.32502
1,5,8.33752
2,7,8.33752
3,3,8.33752
1,5,9.3411
2,7,9.3411
3,3,9.3411
1,4,10.34493
2,6,10.34493
3,2,10.34493
1,4,11.35854
2,6,11.35854
3,2,11.35854
1,4,12.37021
2,6,12.37021
3,2,12.37021
1,5,13.37304
2,7,13.37304
3,3,13.37304
1,4,14.37743
2,6,14.37743
3,2,14.37743
1,4,15.39135
2,5,15.39135
3,2,15.39135
1,4,16.40417
2,5,16.40417
3,1,16.40417
1,3,17.41451
2,5,17.41451
3,1,17.41451
1,5,18.41776
2,7,18.41776
3,3,18.41776
1,5,19.42189
2,7,19.42189
3,3,19.42189
1,5,20.42505
2,7,20.42505
3,3,20.42505
1,5,21.43836
2,7,21.43836
3,3,21.43836
1,5,22.45053
2,7,22.45053
3,3,22.45053
1,5,23.4552
2,7,23.4552
3,3,23.4552
1,5,24.46861
2,7,24.46861
3,3,24.46861
1,5,25.47979
2,7,25.47979
3,3,25.47979
1,5,26.48975
2,7,26.48975
3,3,26.48975
1,5,27.4997
2,7,27.4997
3,3,27.4997
1,5,28.50917
2,7,28.50917
3,3,28.50917
1,5,29.51265
2,7,29.51265
3,3,29.51265
1,5,30.52256
2,7,30.52256
3,3,30.52256
1,5,31.52663
2,7,31.52663
3,3,31.52663
1,3,32.53588
2,5,32.53588
3,3,32.53588
1,3,33.5397
2,4,33.5397
3,1,33.5397
1,3,34.54628
2,4,34.54628
3,0,34.54628
1,1,35.55178
2,2,35.55178
3,0,35.55178
1,1,36.55526
2,1,36.55526
3,0,36.55526
1,1,37.56493
2,1,37.56493
3,0,37.56493
