# Worker-id, Number of tasks running, Timestamp
1,0,2.38263
2,0,2.38263
3,0,2.38263
1,1,3.38591
2,2,3.38591
3,0,3.38591
1,1,4.39673
2,1,4.39673
3,0,4.39673
1,1,5.40616
2,1,5.40616
3,0,5.40616
1,2,6.41686
2,1,6.41686
3,0,6.41686
1,4,7.42847
2,0,7.42847
3,0,7.42847
1,4,8.43228
2,3,8.43228
3,2,8.43228
1,3,9.43639
2,3,9.43639
3,3,9.43639
1,2,10.45065
2,2,10.45065
3,3,10.45065
1,3,11.45964
2,1,11.45964
3,3,11.45964
1,4,12.47309
2,4,12.47309
3,1,12.47309
1,2,13.48553
2,7,13.48553
3,1,13.48553
1,2,14.49798
2,2,14.49798
3,1,14.49798
1,2,15.50258
2,1,15.50258
3,1,15.50258
1,1,16.51584
2,4,16.51584
3,1,16.51584
1,1,17.52215
2,4,17.52215
3,0,17.52215
1,3,18.53337
2,5,18.53337
3,3,18.53337
1,5,19.54348
2,6,19.54348
3,3,19.54348
1,4,20.54856
2,4,20.54856
3,2,20.54856
1,3,21.56355
2,3,21.56355
3,3,21.56355
1,5,22.57065
2,7,22.57065
3,3,22.57065
1,5,23.58185
2,7,23.58185
3,3,23.58185
1,5,24.5915
2,7,24.5915
3,3,24.5915
1,5,25.60264
2,7,25.60264
3,3,25.60264
1,5,26.61327
2,7,26.61327
3,3,26.61327
1,5,27.62561
2,7,27.62561
3,3,27.62561
1,5,28.62823
2,7,28.62823
3,3,28.62823
1,5,29.63094
2,7,29.63094
3,3,29.63094
1,2,30.64345
2,7,30.64345
3,3,30.64345
1,1,31.653
2,7,31.653
3,3,31.653
1,0,32.66492
2,6,32.66492
3,2,32.66492
1,0,33.67399
2,2,33.67399
3,3,33.67399
1,1,34.68377
2,2,34.68377
3,3,34.68377
1,1,35.68871
2,2,35.68871
3,2,35.68871
1,4,36.70005
2,5,36.70005
3,3,36.70005
1,3,37.71261
2,4,37.71261
3,3,37.71261
1,2,38.71538
2,4,38.71538
3,2,38.71538
1,2,39.72904
2,3,39.72904
3,2,39.72904
1,1,40.74024
2,3,40.74024
3,0,40.74024
1,1,41.75222
2,2,41.75222
3,0,41.75222
