# Worker-id, Number of tasks running, Timestamp
1,0,2.45165
2,0,2.45165
3,0,2.45165
1,3,3.453
2,3,3.453
3,2,3.453
1,3,4.45482
2,2,4.45482
3,2,4.45482
1,3,5.45653
2,3,5.45653
3,3,5.45653
1,5,6.45829
2,4,6.45829
3,3,6.45829
1,5,7.4604
2,1,7.4604
3,2,7.4604
1,5,8.46212
2,3,8.46212
3,3,8.46212
1,4,9.46314
2,1,9.46314
3,3,9.46314
1,2,10.46483
2,1,10.46483
3,3,10.46483
1,2,11.46654
2,2,11.46654
3,3,11.46654
1,5,12.46815
2,4,12.46815
3,3,12.46815
1,4,13.46963
2,6,13.46963
3,3,13.46963
1,5,14.47107
2,7,14.47107
3,3,14.47107
1,4,15.4731
2,5,15.4731
3,1,15.4731
1,4,16.47461
2,3,16.47461
3,3,16.47461
1,4,17.47591
2,5,17.47591
3,3,17.47591
1,4,18.47709
2,4,18.47709
3,3,18.47709
1,3,19.47842
2,4,19.47842
3,2,19.47842
1,1,20.47976
2,2,20.47976
3,1,20.47976
1,1,21.48089
2,2,21.48089
3,1,21.48089
1,4,22.48249
2,3,22.48249
3,3,22.48249
1,5,23.48422
2,3,23.48422
3,3,23.48422
1,5,24.48593
2,4,24.48593
3,3,24.48593
1,4,25.48728
2,3,25.48728
3,1,25.48728
1,2,26.48906
2,4,26.48906
3,1,26.48906
1,2,27.49065
2,2,27.49065
3,3,27.49065
1,3,28.49235
2,1,28.49235
3,2,28.49235
1,3,29.49395
2,3,29.49395
3,2,29.49395
1,2,30.49522
2,3,30.49522
3,2,30.49522
1,1,31.4968
2,2,31.4968
3,2,31.4968
1,1,32.49853
2,1,32.49853
3,1,32.49853
1,2,33.50021
2,0,33.50021
3,1,33.50021
1,1,34.50194
2,1,34.50194
3,1,34.50194
1,1,35.50316
2,1,35.50316
3,0,35.50316
